,anticluster_stimuli,Var2,Freq,task
1233,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/swissarmyknife01a,1,1
1249,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wheel04,1,1
1265,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soundmixer,1,1
1281,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cartonofeggs,1,1
1297,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/litterbox,1,1
1337,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/floortile02,1,1
1353,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toolbox02,1,1
1369,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mug05,1,1
1385,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lighthouse,1,1
1409,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/humanskull,1,1
1429,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/suitofarmor,1,1
1449,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mitresaw,1,1
1465,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/callbell,1,1
1477,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wagonwheel,1,1
1485,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/washingmachine,1,1
1497,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/onewaysign,1,1
1509,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/taxisign,1,1
1525,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shopvac,1,1
1541,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotentersign,1,1
1557,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carsidemirror01,1,1
1565,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/corkboard,1,1
1577,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trampoline,1,1
1597,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shelves,1,1
1605,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/officechair03,1,1
1613,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/podium,1,1
1625,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coffeemachine,1,1
1641,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tent,1,1
1657,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/visor,1,1
1669,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bookshelf,1,1
1689,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tree,1,1
1705,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/projectorscreen,1,1
1721,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brasslipstrike,1,1
1729,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/maraca01,1,1
1749,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toytanktruck,1,1
1773,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dishrack,1,1
1789,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doorbolt,1,1
1801,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/garbagebin,1,1
1805,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dryingmachine02,1,1
6,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cinderblock,1,2
30,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sunflowerseeds,1,2
54,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gazebo,1,2
66,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dartboard,1,2
82,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treetrunk,1,2
106,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bun,1,2
122,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/road02,1,2
150,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/marble,1,2
178,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/noparkingsign,1,2
182,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cherrytomato01,1,2
202,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/charcoalbarbecue,1,2
206,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soccerball,1,2
218,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jeep,1,2
234,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/entrancegate,1,2
242,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/watervalve,1,2
262,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/phonebooth,1,2
274,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/football,1,2
294,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ruins,1,2
298,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spotlight,1,2
318,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/knee,1,2
330,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cremebrulee,1,2
346,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spiderweb,1,2
350,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/memorialplaque,1,2
362,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/moon,1,2
382,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carbattery,1,2
394,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/artichoke01b,1,2
406,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/volleyball,1,2
434,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gearshift,1,2
442,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/urinal,1,2
450,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/saladspinner,1,2
462,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/smokedetector02,1,2
466,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/djmixer01,1,2
502,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/oven,1,2
538,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tire,1,2
558,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firstaidkit,1,2
578,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cloud,1,2
602,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bread,1,2
630,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chocolatemilk,1,2
634,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/record,1,2
650,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pouch01b,1,2
670,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/manholecover,1,2
702,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/frisbee,1,2
718,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/casabamelon,1,2
726,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hand01b,1,2
746,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/plantpot,1,2
750,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wallclock,1,2
766,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jarofapplesauce,1,2
782,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/penne,1,2
790,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wheelchair,1,2
806,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/postalmailbox01,1,2
822,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eye,1,2
838,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowtie,1,2
854,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icemaker,1,2
882,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/papershredder,1,2
898,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/radiator,1,2
910,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bikewheel,1,2
922,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/webcam,1,2
946,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/licenseplate,1,2
962,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jumpercables,1,2
970,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/diploma01,1,2
982,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/guacamole,1,2
994,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/baseballglove,1,2
1014,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/officecabinet,1,2
1038,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lunchbag,1,2
1050,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fence02,1,2
1062,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gravyboat,1,2
1082,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firtree,1,2
1102,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/castletower,1,2
1118,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/corn02,1,2
1122,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/drinkshaker,1,2
1134,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/schoolbus,1,2
1154,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chimney,1,2
1170,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handvacuum,1,2
1198,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stuffedpuffin,1,2
1202,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/breadslice,1,2
1226,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/worldmap,1,2
1238,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/holdfast,1,2
1254,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/garbagecan02,1,2
1262,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lantern03,1,2
1270,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pokerchips,1,2
1286,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/staplegun,1,2
1302,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coffeemaker,1,2
1314,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wetfloorsign,1,2
1326,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/porsche,1,2
1342,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tortillachip,1,2
1358,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bus,1,2
1374,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hibiscusflower02,1,2
1390,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cactus,1,2
1414,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/golfball,1,2
1434,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airvent,1,2
1438,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/table01,1,2
1470,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pumpkin,1,2
1482,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boatmotor,1,2
1502,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ballofstring,1,2
1514,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/flower01,1,2
1530,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shoulder,1,2
1562,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cookingpot,1,2
1570,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/elbow,1,2
1582,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/campfire,1,2
1610,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windowshutter,1,2
1630,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/desktopcomputer,1,2
1646,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nailgun,1,2
1678,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/doghouse,1,2
1694,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gamecontroller01,1,2
1710,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shotglass,1,2
1726,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shield02,1,2
1734,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/aceofdiamond,1,2
1754,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kidbicycle,1,2
1758,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/watercolorpaintset,1,2
1770,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windshieldwasherfluid,1,2
1778,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trafficlight,1,2
1794,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sandcastle,1,2
1798,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lightswitch01,1,2
1814,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nintendods,1,2
11,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/Jesusstatue,1,3
27,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exercisebike,1,3
43,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gong,1,3
59,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coloringset,1,3
87,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airhockeytable,1,3
95,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hangar,1,3
111,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/key07,1,3
127,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/safe,1,3
147,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gutteranddrainpipe,1,3
155,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/satellitedish01,1,3
