"","observation","trial","load","stimulus_type","ended_on","url_code","trial_type","trial_seq","color_offset","color_angle_test","color_angle_deviation","color_angle_abs_deviation"
"35092","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35093","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35094","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35095","ac7c4","Pm",5,"ongoing","timeout",865338266,"ongoing",1,NA,NA,NA,NA
"35096","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35097","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35098","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35099","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",1,NA,NA,NA,NA
"35100","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35101","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35102","ac7c4","Pm",5,"ongoing","timeout",865338266,"ongoing",2,NA,NA,NA,NA
"35103","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35104","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35105","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35106","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",2,NA,NA,NA,NA
"35107","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35108","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35109","ac7c4","Pm",5,"ongoing","timeout",865338266,"ongoing",3,NA,NA,NA,NA
"35110","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35111","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35112","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35113","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",3,NA,NA,NA,NA
"35114","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35115","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35116","ac7c4","Pm",5,"ongoing","timeout",865338266,"ongoing",4,NA,NA,NA,NA
"35117","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35118","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35119","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35120","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",4,NA,NA,NA,NA
"35121","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35122","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35123","ac7c4","Pm",5,"ongoing","timeout",865338266,"ongoing",5,NA,NA,NA,NA
"35124","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35125","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35126","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35127","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",5,NA,NA,NA,NA
"35128","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35129","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35130","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35131","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35132","ac7c4","Pm",5,"ongoing","response",865338266,"ongoing",1,97.0652150796024,21.9041269560066,7.07665304399336,7.07665304399336
"35133","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35134","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35135","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35136","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35137","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",1,NA,NA,NA,NA
"35138","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35139","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35140","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35141","ac7c4","Pm",5,"ongoing","response",865338266,"ongoing",2,131.313119194174,63.9469618799038,48.8800281200962,48.8800281200962
"35142","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35143","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35144","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35145","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",2,NA,NA,NA,NA
"35146","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",2,NA,NA,NA,NA
"35147","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35148","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35149","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35150","ac7c4","Pm",5,"ongoing","response",865338266,"ongoing",3,-91.2308461002027,-50.811379817937,0.388009817937018,0.388009817937018
"35151","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35152","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35153","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35154","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",3,NA,NA,NA,NA
"35155","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",3,NA,NA,NA,NA
"35156","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35157","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35158","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35159","ac7c4","Pm",5,"ongoing","response",865338266,"ongoing",4,53.377943501374,148.04112256904,17.3945774309598,17.3945774309598
"35160","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35161","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35162","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35163","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",4,NA,NA,NA,NA
"35164","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",4,NA,NA,NA,NA
"35165","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35166","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35167","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35168","ac7c4","Pm",5,"ongoing","response",865338266,"ongoing",5,-131.515242921118,72.29350832341,-2.25921832340998,2.25921832340998
"35169","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35170","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35171","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35172","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",5,NA,NA,NA,NA
"35173","ac7c4","Pm",5,"ongoing","completion",865338266,"ongoing",5,NA,NA,NA,NA
"35174","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35175","ac7c4","Pm",5,NA,"skipped",865338266,NA,NA,NA,NA,NA,NA
"35176","ac7c4","Pm",5,NA,"skipped",865338266,NA,NA,NA,NA,NA,NA
"35177","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35178","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35179","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35180","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35181","ac7c4","Pm",5,"ongoing","timeout",865338266,"prom",1,NA,NA,NA,NA
"35182","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35183","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35184","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35185","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",1,NA,NA,NA,NA
"35186","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35187","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35188","ac7c4","Pm",5,"ongoing","timeout",865338266,"prom",2,NA,NA,NA,NA
"35189","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35190","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35191","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35192","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",2,NA,NA,NA,NA
"35193","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35194","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35195","ac7c4","Pm",5,"prom_spec","timeout",865338266,"prom",3,NA,NA,NA,NA
"35196","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35197","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35198","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35199","ac7c4","Pm",5,"prom_spec","completion",865338266,"prom",3,NA,NA,NA,NA
"35200","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35201","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35202","ac7c4","Pm",5,"ongoing","timeout",865338266,"prom",4,NA,NA,NA,NA
"35203","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35204","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35205","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35206","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",4,NA,NA,NA,NA
"35207","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35208","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35209","ac7c4","Pm",5,"ongoing","timeout",865338266,"prom",5,NA,NA,NA,NA
"35210","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35211","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35212","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35213","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",5,NA,NA,NA,NA
"35214","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35215","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35216","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35217","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35218","ac7c4","Pm",5,"ongoing","response",865338266,"prom",1,48.0910193399627,106.995484053171,20.0517659468294,20.0517659468294
"35219","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35220","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35221","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35222","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",1,NA,NA,NA,NA
"35223","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",1,NA,NA,NA,NA
"35224","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35225","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35226","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35227","ac7c4","Pm",5,"ongoing","response",865338266,"prom",2,5.52701141865697,-49.1799320098833,-6.51863799011676,6.51863799011676
"35228","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35229","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35230","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35231","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",2,NA,NA,NA,NA
"35232","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",2,NA,NA,NA,NA
"35233","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35234","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35235","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35236","ac7c4","Pm",5,"prom_spec","response",865338266,"prom",3,-127.572319192329,-135.505680359239,-11.494319640761,11.494319640761
"35237","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35238","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35239","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35240","ac7c4","Pm",5,"prom_spec","skipped",865338266,"prom",3,NA,NA,NA,NA
"35241","ac7c4","Pm",5,"prom_spec","completion",865338266,"prom",3,NA,NA,NA,NA
"35242","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35243","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35244","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35245","ac7c4","Pm",5,"ongoing","response",865338266,"prom",4,-115.045244062378,79.6615072227746,-9.1557972227746,9.1557972227746
"35246","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35247","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35248","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35249","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",4,NA,NA,NA,NA
"35250","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",4,NA,NA,NA,NA
"35251","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35252","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35253","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35254","ac7c4","Pm",5,"ongoing","response",865338266,"prom",5,-107.109201862443,-57.6141398787277,51.2559298787277,51.2559298787277
"35255","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35256","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35257","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35258","ac7c4","Pm",5,"ongoing","skipped",865338266,"prom",5,NA,NA,NA,NA
"35259","ac7c4","Pm",5,"ongoing","completion",865338266,"prom",5,NA,NA,NA,NA
"35260","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35261","ac7c4","Pm",5,NA,"skipped",865338266,NA,NA,NA,NA,NA,NA
"35262","ac7c4","Pm",5,NA,"skipped",865338266,NA,NA,NA,NA,NA,NA
"35263","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35264","ac7c4","Pm",5,NA,"completion",865338266,NA,NA,NA,NA,NA,NA
"35265","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
"35266","ac7c4","Pm",5,"ongoing","skipped",865338266,"ongoing",1,NA,NA,NA,NA
