,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
1,1a5a1,practice,3,ongoing,response,405634384,ongoing,3,135.471109365849,-85.7893193922292,-23.2106806077709,23.2106806077709,363
2,1a5a1,practice,3,ongoing,response,405634384,ongoing,1,-136.431721672037,158.569501430888,126.430498569111,126.430498569111,364
3,1a5a1,practice,3,ongoing,response,405634384,ongoing,2,56.9346319873854,-142.300481978274,-93.6995180217258,93.6995180217258,365
4,1a5a1,practice,3,ongoing,response,405634384,ongoing,3,-84.2250019354554,22.5899726373161,32.4100273626839,32.4100273626839,366
5,1a5a1,practice,3,ongoing,response,405634384,ongoing,1,-42.3971552382595,46.9901834533196,5.00981654668044,5.00981654668044,367
6,1a5a1,practice,3,ongoing,response,405634384,ongoing,2,-172.337024978848,162.252602737425,7.74739726257451,7.74739726257451,368
7,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,-22.9216394540007,-102.240606283511,-34.3216937164894,34.3216937164894,1
8,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,-70.786134834249,137.805958435944,26.5791215640564,26.5791215640564,2
9,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,-39.9550874927812,-28.799880669008,-1.41043933099206,1.41043933099206,3
10,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,-104.045097251935,-134.174306996151,-5.94819300384916,5.94819300384916,4
11,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,142.659885938936,-157.921743960942,120.363543960942,120.363543960942,5
12,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,48.4672576953005,21.7058416240268,1.67515837597318,1.67515837597318,6
13,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,112.313080712973,11.7510080333067,9.99878196669329,9.99878196669329,7
14,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,142.914607627146,-125.079795851952,-4.53686414804849,4.53686414804849,8
15,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,-123.513403052976,-72.4272475900898,-0.329462409910207,0.329462409910207,9
16,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,47.4189779144386,-21.0879098485724,-21.1127821514276,21.1127821514276,10
17,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,39.3330762601899,170.647456846684,-0.423032846684009,0.423032846684009,11
18,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,-45.7876368156724,158.310696381322,-33.7935803813225,33.7935803813225,12
19,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,-158.133923989058,-11.3228841085103,4.95531410851027,4.95531410851027,13
20,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,66.149607611173,-73.8853236027515,-7.2736963972485,7.2736963972485,14
21,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,-135.248384442751,156.528530706601,-43.3155307066006,43.3155307066006,15
22,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,104.478221816192,-3.85097279443062,-4.4205902055694,4.4205902055694,16
23,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,129.10450108376,29.671392802843,-24.397958802843,24.397958802843,17
24,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,41.9261332522383,175.972619889004,2.20864911099602,2.20864911099602,18
25,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,107.962803598602,2.83321315368619,-3.5383131536862,3.5383131536862,19
26,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,50.599947284347,-71.1320335577511,-0.474066442248841,0.474066442248841,20
27,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,66.2844890654676,45.2338398347819,-15.2323398347819,15.2323398347819,21
28,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,-58.9414820225464,-45.2427013202807,-4.75563867971937,4.75563867971937,22
29,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,-54.488309136539,168.594612037643,-6.68133203764319,6.68133203764319,23
30,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,127.265046197031,11.4434569348484,14.4348130651515,14.4348130651515,24
31,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,-179.224344610277,-108.033213189256,-37.5002368107442,37.5002368107442,25
32,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,177.637455325856,11.5477303435716,-4.15122034357159,4.15122034357159,26
33,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,3,48.0206584698073,-130.68869184923,37.3023218492301,37.3023218492301,27
34,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,1,52.8079402735554,-61.2149426580549,-8.36333734194511,8.36333734194511,28
35,1a5a1,Baseline1,3,ongoing,response,405634384,ongoing,2,-15.6909469360352,111.041659670415,7.6141103295854,7.6141103295854,29
